X,Y,UX,UY
3.200000000000000000e+01,2.800000000000000000e+01,8.963108158254575256e-04,-5.665540531797847584e-02
3.600000000000000000e+01,2.800000000000000000e+01,1.352044028117732914e-03,-6.150355220733749739e-02
4.000000000000000000e+01,2.800000000000000000e+01,1.749768084666531451e-03,-6.574472209270645906e-02
4.400000000000000000e+01,2.800000000000000000e+01,2.075187687804607144e-03,-6.943907409734884073e-02
4.800000000000000000e+01,2.800000000000000000e+01,2.324986992549580092e-03,-7.265556769147055172e-02
5.200000000000000000e+01,2.800000000000000000e+01,2.503500649753030109e-03,-7.546402277710032025e-02
5.600000000000000000e+01,2.800000000000000000e+01,2.619503465313779717e-03,-7.793084754694971916e-02
6.000000000000000000e+01,2.800000000000000000e+01,2.683637218632787223e-03,-8.011717321863447150e-02
6.400000000000000000e+01,2.800000000000000000e+01,2.706575722455524784e-03,-8.207838997584894491e-02
6.800000000000000000e+01,2.800000000000000000e+01,2.697834676508847288e-03,-8.386443097633736188e-02
7.200000000000000000e+01,2.800000000000000000e+01,2.665074898183643261e-03,-8.552043269855311158e-02
7.600000000000000000e+01,2.800000000000000000e+01,2.613756550123656330e-03,-8.708758935789080724e-02
8.000000000000000000e+01,2.800000000000000000e+01,2.547036274234420680e-03,-8.860414151947026973e-02
8.400000000000000000e+01,2.800000000000000000e+01,2.465836322934658945e-03,-9.010652557254282546e-02
8.800000000000000000e+01,2.800000000000000000e+01,2.369041465284206244e-03,-9.163078745389414970e-02
9.200000000000000000e+01,2.800000000000000000e+01,2.253782358242952411e-03,-9.321444902264933163e-02
9.600000000000000000e+01,2.800000000000000000e+01,2.115722276119919032e-03,-9.489911366373716961e-02
1.000000000000000000e+02,2.800000000000000000e+01,1.949143016222598538e-03,-9.673417897608574401e-02
0.000000000000000000e+00,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.200000000000000000e+01,-5.502809534002942558e-04,-8.294870913906564336e-03
8.000000000000000000e+00,3.200000000000000000e+01,-7.263191195470494613e-04,-1.656797654053844548e-02
1.200000000000000000e+01,3.200000000000000000e+01,-5.920788924959405472e-04,-2.468832850867564571e-02
1.600000000000000000e+01,3.200000000000000000e+01,-2.068848238039418990e-04,-3.250969011206202020e-02
2.000000000000000000e+01,3.200000000000000000e+01,3.696226004026704581e-04,-3.988406249722423191e-02
2.400000000000000000e+01,3.200000000000000000e+01,1.072396622957640967e-03,-4.667866843994457338e-02
2.800000000000000000e+01,3.200000000000000000e+01,1.827448022389266836e-03,-5.279025122936722991e-02
3.200000000000000000e+01,3.200000000000000000e+01,2.562945667367815157e-03,-5.817909792941809710e-02
3.600000000000000000e+01,3.200000000000000000e+01,3.223333229325517010e-03,-6.286807194965134127e-02
4.000000000000000000e+01,3.200000000000000000e+01,3.775450307121432092e-03,-6.692050423330327125e-02
4.400000000000000000e+01,3.200000000000000000e+01,4.206865227009902800e-03,-7.041770543830186413e-02
4.800000000000000000e+01,3.200000000000000000e+01,4.520501982902545499e-03,-7.344384358209639363e-02
5.200000000000000000e+01,3.200000000000000000e+01,4.728762435833113592e-03,-7.607799944313799190e-02
5.600000000000000000e+01,3.200000000000000000e+01,4.848659654069708072e-03,-7.839101301169794367e-02
6.000000000000000000e+01,3.200000000000000000e+01,4.898343995685881282e-03,-8.044496337138873354e-02
6.400000000000000000e+01,3.200000000000000000e+01,4.894875346598882328e-03,-8.229388165915911546e-02
6.800000000000000000e+01,3.200000000000000000e+01,4.852933675900813863e-03,-8.398493351465619039e-02
7.200000000000000000e+01,3.200000000000000000e+01,4.784167418029213435e-03,-8.555971586929572714e-02
7.600000000000000000e+01,3.200000000000000000e+01,4.696943570259525663e-03,-8.705554442113502822e-02
8.000000000000000000e+01,3.200000000000000000e+01,4.596333497540270457e-03,-8.850673322288026001e-02
8.400000000000000000e+01,3.200000000000000000e+01,4.484224154862586492e-03,-8.994593954459909058e-02
8.800000000000000000e+01,3.200000000000000000e+01,4.359478122357475678e-03,-9.140569794444146356e-02
9.200000000000000000e+01,3.200000000000000000e+01,4.218072023687633246e-03,-9.292031172691574137e-02
9.600000000000000000e+01,3.200000000000000000e+01,4.053113466915485123e-03,-9.452830217180437089e-02
1.000000000000000000e+02,3.200000000000000000e+01,3.854562020579841829e-03,-9.627559619169211158e-02
0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.600000000000000000e+01,-5.194927431779477632e-04,-8.883778657555577857e-03
8.000000000000000000e+00,3.600000000000000000e+01,-6.161530036092035742e-04,-1.764242005272014316e-02
1.200000000000000000e+01,3.600000000000000000e+01,-3.442597427322562033e-04,-2.615403356116560024e-02
1.600000000000000000e+01,3.600000000000000000e+01,2.398447081044385724e-04,-3.427442989166263471e-02
2.000000000000000000e+01,3.600000000000000000e+01,1.068823404286190892e-03,-4.184983152522829541e-02
