X,Y,UX,UY,LOAD,BOUNDARY
3.499999999999999778e-01,1.200000000000000233e-01,2.006423141051136283e-03,-1.720899260973509509e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,1.200000000000000233e-01,2.297493286083468391e-03,-2.259594074583282097e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,1.200000000000000233e-01,2.588659264291419144e-03,-2.871036444002405749e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.200000000000000233e-01,2.879978280114768672e-03,-3.555236710141618239e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,1.200000000000000233e-01,3.171624395296811401e-03,-4.312202669069549466e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,1.200000000000000233e-01,3.463841087563527231e-03,-5.141936683647136547e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,1.200000000000000233e-01,3.756673505566199018e-03,-6.044416862566545645e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,1.200000000000000233e-01,4.048894775998457263e-03,-7.019546305032055289e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,1.200000000000000233e-01,4.334651792365280289e-03,-8.067066221759293387e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,1.200000000000000233e-01,4.594422800467527247e-03,-9.186569083761220167e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,1.200000000000000233e-01,4.772069247833581225e-03,-1.037858849731786853e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,1.200000000000000233e-01,4.700753059762530217e-03,-1.165431818916389944e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,1.200000000000000233e-01,4.207874649135189514e-03,-1.304357281028405424e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.200000000000000233e-01,4.853458783078772563e-03,-1.474906651872154861e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000033e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,1.600000000000000033e-01,7.822208136385580329e-04,-3.461128614260743888e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.600000000000000033e-01,1.652799673309298225e-03,-1.373301064960059416e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,1.600000000000000033e-01,2.530599496631563694e-03,-3.126117916220312598e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.600000000000000033e-01,3.405385284898972392e-03,-5.607463310465922099e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,1.600000000000000033e-01,4.278724044261022173e-03,-8.815008812868570243e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.600000000000000033e-01,5.151813044115507133e-03,-1.274845239069106496e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,1.600000000000000033e-01,6.024886065493696534e-03,-1.740843855995540673e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,1.600000000000000033e-01,6.897952199266586468e-03,-2.279551730247138946e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,1.600000000000000033e-01,7.770992372702937960e-03,-2.891000802565590888e-02,0.000000000000000000e+00,0.000000000000000000e+00
